ID,Type,Amount,Price,RP,Smallsell,PV
0,Buy,6000,68.3136350112,48,0,3279.054480537
1,Sell,300,67.8781366564,65,1,0.0
2,Sell,300,67.8625694136,67,1,0.0
3,Sell,5200,68.2155784638,74,0,0.0
4,Sell,4800,68.2005418071,77,0,0.0
5,Sell,700,67.903979324,90,1,0.0
6,Sell,500,67.9706823063,44,1,0.0
7,Sell,300,68.0082856322,98,1,0.0
8,Sell,4000,67.6771171113,95,0,0.0
9,Sell,400,68.3439812834,97,1,0.0
10,Sell,5200,68.3043735154,98,0,0.0
11,Sell,500,68.3146843503,72,1,0.0
12,Buy,8500,67.7833137822,95,0,6439.4148093128
13,Sell,300,67.6972701101,47,1,0.0
14,Sell,600,68.0934981732,53,1,0.0
15,Sell,300,67.6643004476,72,1,0.0
16,Sell,4000,67.5025670894,97,0,0.0
17,Sell,700,67.766897772,90,1,0.0
18,Sell,700,68.3593400586,94,1,0.0
19,Sell,700,68.297579464,58,1,0.0
20,Sell,700,67.9963138768,75,1,0.0
21,Buy,7500,68.1797099762,41,0,2795.3681090247
22,Sell,600,67.8963410993,62,1,0.0
23,Sell,5600,68.0393723423,76,0,0.0
24,Sell,400,68.1389034352,60,1,0.0
25,Sell,600,67.9407878058,89,1,0.0
26,Sell,500,67.8956997072,100,1,0.0
27,Sell,600,68.2121475767,98,1,0.0
28,Sell,300,67.5685137765,66,1,0.0
29,Sell,400,68.1359971272,53,1,0.0
30,Sell,500,68.2021592668,61,1,0.0
31,Sell,700,68.1622014297,52,1,0.0
32,Sell,400,67.0747151116,98,1,0.0
33,Sell,700,68.1841677442,74,1,0.0
34,Buy,4000,68.0039069551,62,0,4216.2422312143
35,Sell,6000,67.5919662652,46,0,0.0
36,Buy,9000,67.8221298533,85,0,5764.8810375287
37,Sell,700,68.0207353499,70,1,0.0
38,Sell,600,67.8784795591,65,1,0.0
39,Sell,700,68.2277390011,45,1,0.0
40,Sell,400,67.7049006351,75,1,0.0
41,Sell,400,68.306786137,71,1,0.0
42,Sell,500,68.6580093034,45,1,0.0
43,Sell,500,67.9743704686,89,1,0.0
44,Sell,700,68.083746346,89,1,0.0
45,Sell,300,67.6650410319,86,1,0.0
46,Sell,300,67.8343047347,59,1,0.0
47,Buy,7500,67.8966113071,89,0,6042.7984063337
48,Sell,600,67.9909804201,40,1,0.0
49,Sell,300,68.4759551971,68,1,0.0
50,Buy,9000,67.9907138458,56,0,3807.4799753661
51,Sell,400,68.1136793496,85,1,0.0
52,Buy,5500,67.8172434676,44,0,2983.9587125741
53,Sell,500,67.9091608471,100,1,0.0
54,Sell,4000,68.1598228868,69,0,0.0
55,Sell,4400,67.9491002262,78,0,0.0
56,Sell,600,68.3608719511,77,1,0.0
57,Sell,600,68.0459891026,86,1,0.0
58,Sell,600,67.9958877415,91,1,0.0
59,Buy,6500,68.2995754957,98,0,6693.3583985785
60,Sell,600,67.8745201129,95,1,0.0
61,Buy,8000,68.3186137513,57,0,3894.1609838257
62,Sell,300,68.0988353396,44,1,0.0
63,Sell,4800,68.2025043658,79,0,0.0
64,Sell,500,68.1202176829,57,1,0.0
65,Sell,600,68.3995402162,80,1,0.0
66,Sell,5200,68.2720440977,77,0,0.0
67,Sell,700,67.8919337691,42,1,0.0
68,Sell,300,67.9320627512,68,1,0.0
